chid,top1,top2,top3
10000148,37,2,10
10000172,10,15,2
10000226,37,2,15
10000229,15,10,48
10000285,2,18,10
10000307,10,37,2
10000354,37,15,36
10000445,36,12,37
10000454,37,12,2
10000526,15,2,37
10000553,37,10,15
10000557,37,19,15
10000568,15,48,2
10000577,26,37,2
10000580,37,15,10
10000609,13,10,2
10000746,36,2,48
10000749,37,2,39
10000787,37,15,2
10000849,37,15,39
10000907,12,2,48
10000915,37,19,39
10000948,48,10,15
10001011,22,37,36
10001032,48,15,39
10001122,37,15,10
10001230,10,39,2
10001288,10,37,15
10001338,37,36,10
10001366,48,12,13
10001372,37,15,26
10001460,10,37,2
10001608,48,10,2
10001829,12,26,37
10001830,37,36,15
10001836,48,37,15
10001886,48,2,36
10001900,36,10,15
10001932,37,15,48
10002063,2,15,37
10002080,36,37,10
10002135,37,2,15
10002240,48,12,15
10002278,37,48,15
10002306,36,37,2
10002411,37,2,15
10002416,37,36,2
10002477,48,10,15
10002530,37,10,15
10002626,37,2,15
10002637,37,48,2
10002680,37,15,10
10002712,37,15,19
10002749,37,2,21
10002795,37,15,2
10002842,37,2,15
10002941,37,26,6
10002947,37,10,2
10003039,48,36,10
10003052,10,37,2
10003061,13,36,48
10003076,36,2,37
10003109,48,10,2
10003137,36,37,2
10003220,2,15,39
10003308,48,10,36
10003357,10,36,12
10003394,36,39,37
10003547,15,10,2
10003560,13,15,48
10003562,37,15,19
10003758,37,15,2
10003765,12,37,10
10003802,2,15,19
10003814,2,37,15
10003879,25,15,2
10003897,15,37,19
10003914,37,10,48
10003934,37,2,19
10004119,15,37,2
10004241,37,2,15
10004263,48,37,15
10004293,37,48,26
10004344,48,15,37
10004535,37,15,2
10004544,10,37,48
10004606,37,2,15
10004620,12,37,15
10004703,2,37,15
10004756,10,15,2
10004787,36,10,15
10004831,37,15,10
10004883,22,37,2
10005233,13,15,2
10005263,37,2,15
10005349,37,26,15
10005366,37,39,19
10005446,37,48,36
10005458,48,18,37
10005480,37,2,15
10005530,37,10,22
10005549,37,2,15
10005604,37,2,19
10005614,37,2,15
10005637,37,48,2
10005683,2,19,15
10005722,15,22,36
10005726,13,48,10
10005857,37,36,15
10005869,48,2,15
10005919,37,10,15
10005920,13,36,15
10005959,36,48,19
10005967,36,13,37
10005971,2,37,15
10006030,25,19,37
10006078,48,2,15
10006116,6,37,2
10006121,37,2,6
10006159,15,48,22
10006233,37,15,2
10006254,48,15,37
10006264,15,37,2
10006284,15,37,19
10006289,48,37,10
10006292,12,22,10
10006312,37,2,15
10006377,10,15,2
10006378,37,10,2
10006393,10,36,2
10006466,36,37,15
10006534,36,37,13
10006542,2,37,39
10006573,10,37,2
10006598,15,2,37
10006637,48,15,2
10006699,36,10,15
10006714,36,15,10
10006785,37,2,15
10006951,37,15,2
10006979,37,26,10
10007165,36,37,48
10007245,36,15,2
10007256,10,48,36
10007310,37,2,15
10007457,48,15,13
10007594,37,2,15
10007654,10,37,15
10007703,2,37,15
10007725,37,15,12
10007732,22,37,2
10007801,37,36,15
10007819,10,2,37
10007856,37,25,15
10008013,37,10,36
10008014,36,37,48
10008113,37,15,19
10008136,36,10,37
10008280,10,37,2
10008293,10,37,2
10008329,36,37,15
10008352,10,36,15
10008387,6,2,15
10008512,2,26,37
10008529,37,15,36
10008601,36,15,10
10008645,2,39,15
10008666,37,15,19
10008674,13,10,37
10008677,2,10,6
10008682,12,37,21
10008821,13,10,2
10008879,37,2,10
10008950,2,15,10
10008971,36,15,37
10009072,10,15,37
10009146,36,2,15
10009219,10,36,48
10009264,37,10,15
10009265,2,37,15
10009290,2,21,15
10009305,2,12,15
10009322,37,15,48
10009345,10,13,12
10009350,37,48,15
10009384,48,36,2
10009516,2,18,25
10009621,37,15,25
10009821,19,2,37
10009884,37,10,48
10009906,15,37,2
10010045,36,37,2
10010099,37,36,2
10010137,37,36,10
10010159,10,19,37
10010171,12,37,21
10010254,19,15,25
10010259,15,12,48
10010299,36,48,37
10010305,37,2,15
10010318,37,2,15
10010441,2,15,19
10010448,36,37,48
10010455,37,2,15
10010668,37,12,15
10010690,2,37,15
10010760,48,36,19
10010773,13,36,2
10010789,48,37,2
10010932,37,6,2
10010944,15,36,37
10010949,39,37,2
10011026,15,39,37
10011124,36,10,12
10011146,2,22,37
10011174,37,2,15
10011300,21,18,2
10011304,15,48,13
10011313,37,15,2
10011352,37,10,15
10011416,10,12,37
10011439,37,15,2
10011474,36,13,2
10011485,13,37,10
10011505,36,37,2
10011510,2,15,37
10011579,37,10,15
10011641,12,15,10
10011662,37,15,48
10011663,36,15,37
10011678,10,15,2
10011786,37,36,15
10011810,37,19,39
10011894,21,18,19
10011925,15,37,12
10011947,37,10,15
10012023,36,15,37
10012077,37,10,15
10012152,13,37,10
10012261,15,37,36
10012271,10,37,12
10012335,36,37,39
10012368,37,26,2
10012475,37,22,48
10012483,36,37,15
10012502,37,15,2
10012523,12,25,36
10012541,2,37,15
10012549,13,2,37
10012592,36,37,15
10012616,15,37,48
10012621,36,37,15
10012662,36,37,10
10012775,37,2,15
10012826,37,15,2
10013024,2,37,15
10013037,10,15,2
10013040,36,21,37
10013052,10,36,48
10013088,37,36,25
10013097,15,21,48
10013155,37,19,2
10013184,37,15,2
10013330,2,15,10
10013376,37,10,2
10013383,36,10,13
10013464,48,10,18
10013700,37,48,2
10013754,48,36,37
10014054,12,37,2
10014119,13,15,37
10014150,22,10,2
10014212,48,2,37
10014268,37,2,36
10014313,13,10,15
10014430,36,37,2
10014435,37,2,12
10014500,37,36,10
10014557,36,2,22
10014577,15,2,13
10014582,48,2,10
10014699,2,48,19
10014761,37,15,10
10014822,2,15,37
10014858,48,15,37
10014896,2,25,22
10014923,37,39,2
10014932,37,2,15
10014955,48,15,36
10014996,2,10,19
10015026,36,37,15
10015126,37,25,12
10015136,36,37,2
10015175,48,37,2
10015189,2,37,15
10015220,13,36,6
10015330,15,19,2
10015433,12,37,2
10015471,37,15,2
10015481,36,13,48
10015484,48,36,37
10015532,37,48,15
10015574,10,37,15
10015596,37,2,15
10015688,37,36,22
10015689,15,2,36
10015824,13,37,10
10016012,37,10,15
10016052,36,37,10
10016124,36,37,6
10016130,37,10,26
10016169,15,37,36
10016185,36,10,15
10016256,13,15,2
10016270,37,15,2
10016434,15,37,2
10016443,37,2,15
10016452,36,37,2
10016463,37,15,2
10016478,37,10,12
10016497,48,37,36
10016501,6,48,21
10016540,15,2,48
10016586,15,37,39
10016613,15,12,10
10016689,2,15,18
10016722,15,39,2
10016744,37,36,15
10016759,15,37,2
10016821,37,13,15
10016828,37,2,15
10016840,18,37,2
10016880,12,37,36
10017046,10,48,36
10017109,37,2,15
10017141,12,37,15
10017194,48,36,10
10017278,37,2,15
10017410,37,48,15
10017431,37,2,15
10017435,10,15,37
10017447,48,37,2
10017456,37,10,2
10017470,13,48,36
10017569,48,15,13
10017578,37,2,15
10017757,10,36,2
10017833,15,2,19
10017909,36,37,2
10017910,12,37,15
10017937,37,2,15
10017994,37,15,2
10018040,2,39,37
10018068,13,36,15
10018143,15,37,48
10018173,36,15,13
10018215,37,19,10
10018236,13,10,15
10018328,36,37,15
10018394,36,15,48
10018486,37,10,2
10018531,2,37,15
10018623,37,15,2
10018662,2,10,12
10018803,10,37,2
10018806,37,36,15
10018829,12,37,2
10018882,10,48,2
10019064,37,15,10
10019084,48,37,15
10019206,10,2,19
10019216,10,48,36
10019286,37,2,15
10019292,48,10,19
10019385,37,15,25
10019404,10,36,15
10019447,37,2,15
10019504,13,36,10
10019559,15,2,21
10019722,36,15,10
10019734,48,37,2
10019757,13,19,48
10019780,37,2,26
10019812,48,37,10
10019827,36,2,48
10019882,13,15,2
10019926,26,37,2
10019951,37,36,15
10020013,36,15,12
10020066,10,19,37
10020072,48,15,36
10020095,48,2,21
10020113,10,15,48
10020124,12,37,48
10020373,36,15,37
10020407,12,37,2
10020607,48,37,2
10020639,10,25,37
10020821,36,37,15
10020834,36,37,15
10020876,37,15,2
10020985,39,10,37
10021041,13,15,2
10021107,37,15,2
10021157,48,15,10
10021175,2,37,15
10021179,48,36,12
10021289,6,18,2
10021404,37,25,2
10021507,39,37,10
10021649,37,15,22
10021734,10,19,2
10021788,37,2,15
10021969,37,2,15
10022003,36,48,10
10022020,15,37,2
10022031,15,2,19
10022097,36,15,48
10022180,6,15,36
10022334,48,13,2
10022337,19,37,39
10022361,37,15,2
10022402,37,15,26
10022405,36,37,48
10022420,37,48,25
10022444,36,37,15
10022480,10,48,2
10022491,37,2,36
10022519,37,2,15
10022537,48,2,37
10022638,37,48,15
10022727,37,15,2
10022741,37,19,25
10022750,10,26,2
10022760,48,36,15
10022902,37,10,2
10022953,36,37,15
10022966,2,15,37
10023011,37,48,15
10023037,10,15,2
10023045,15,37,2
10023050,2,19,15
10023191,37,10,2
10023345,37,15,19
10023381,37,2,15
10023486,48,37,19
10023516,48,10,37
10023636,15,2,37
10023690,10,48,2
10023746,37,15,2
10023748,10,48,37
10023856,10,37,12
10023861,48,36,15
10023869,37,6,25
10023897,37,2,15
10023900,15,10,2
10023922,2,48,15
10023950,48,37,15
10024012,37,15,36
10024103,15,10,37
10024120,37,15,10
10024178,10,2,39
10024220,37,12,10
10024249,48,10,36
10024256,37,12,15
10024267,37,39,2
10024302,37,36,48
10024463,15,37,2
10024525,48,15,36
10024560,37,10,2
10024586,37,39,19
10024616,37,2,15
10024681,10,48,6
10024760,15,10,36
10024761,37,2,15
10024772,2,37,36
10024796,13,48,36
10024808,22,37,19
10024815,6,10,19
10024882,48,10,37
10024909,13,37,18
10024964,2,36,12
10025006,37,2,15
10025069,6,37,25
10025226,37,15,2
10025239,37,10,2
10025378,15,37,36
10025448,48,37,10
10025568,48,37,2
10025749,10,37,15
10025758,37,26,15
10025760,37,10,48
10025919,13,36,48
10025944,36,19,25
10026004,37,48,10
10026046,36,48,10
10026088,36,10,37
10026201,36,10,15
10026206,37,2,15
10026232,10,15,2
10026234,13,48,10
10026267,37,36,2
10026420,13,10,37
10026436,10,37,25
10026454,10,2,19
10026595,36,37,10
10026614,37,25,19
10026789,48,36,15
10026807,2,19,12
10026855,13,18,10
10026889,37,2,15
10026994,37,12,13
10027027,37,15,2
10027039,2,37,10
10027069,37,10,2
10027153,37,15,2
10027174,2,19,37
10027182,36,10,2
10027222,10,37,15
10027244,48,37,15
10027308,48,37,2
10027361,21,6,2
10027401,15,10,48
10027446,36,37,15
10027471,15,36,2
10027500,37,39,2
10027527,36,37,15
10027593,15,19,37
10027614,37,25,2
10027699,37,36,48
10027752,36,10,15
10027758,36,15,2
10027783,15,37,2
10027790,37,10,2
10027862,37,2,15
10027870,36,2,37
10027899,10,37,18
10027905,37,2,15
10027930,37,15,2
10028024,37,15,2
10028063,36,15,48
10028064,37,36,15
10028170,36,15,37
10028174,37,10,15
10028228,37,15,25
10028260,36,15,2
10028295,10,15,37
10028352,36,37,2
10028439,37,10,19
10028472,48,36,10
10028490,48,37,15
10028509,37,36,10
10028526,36,37,13
10028590,37,39,2
10028607,36,48,2
10028625,36,37,10
10028654,48,36,37
10028676,36,37,15
10028703,36,37,10
10028792,10,2,15
10028816,48,37,2
10028820,36,15,10
10028886,37,48,36
10028913,37,48,2
10028970,37,26,39
10028999,2,37,15
10029073,48,36,15
10029098,15,37,2
10029109,37,48,39
10029149,10,36,15
10029256,37,19,2
10029263,37,15,2
10029352,10,37,2
10029452,13,10,15
10029473,37,2,15
10029484,37,2,15
10029562,37,48,10
10029567,37,6,15
10029597,15,48,37
10029633,37,10,48
10029676,37,15,2
10029834,37,36,2
10029860,10,12,26
10029873,37,15,12
10029962,12,2,15
10030120,25,22,15
10030317,37,12,15
10030353,10,37,2
10030358,2,36,12
10030382,36,2,15
10030413,37,48,10
10030430,13,10,15
10030444,37,48,36
10030497,37,6,2
10030592,15,48,10
10030601,37,2,15
10030630,13,48,15
10030650,2,18,37
10030652,37,2,36
10030664,2,10,48
10030702,10,12,37
10030735,37,36,2
10030756,36,2,15
10030764,15,2,48
10030831,37,2,13
10030864,37,12,10
10030917,37,2,36
10030918,36,48,10
10030931,36,15,10
10030942,36,15,2
10031195,36,2,15
10031206,10,15,2
10031310,36,37,25
10031395,36,10,15
10031406,48,10,12
10031428,37,26,15
10031463,37,36,15
10031553,37,2,10
10031559,10,22,12
10031574,2,36,19
10031613,10,26,37
10031626,37,15,10
10031675,10,37,2
10031785,37,15,48
